setting,success_rate,first_error_step,recovery_at_error,constraint_violation_rate,plan_feasibility,token_cost,latency_cost
mlp_direct,0.015470643056849953,1.3899347623485554,0.04417520969245107,0.0020503261882572226,0.9979496738117428,5.411369990680336,0.02
mlp_memory_no_prefilter,0.019757688723205966,1.6641192917054985,0.11369990680335508,0.7800559179869525,0.9960857409133271,56.94147250698975,0.25893383038210627
mlp_memory_prefilter,0.03951537744641193,1.8812674743709226,0.21863932898415658,0.0001863932898415657,0.9998136067101584,44.451817334575956,0.19516123019571296
mlp_no_value_jitter005,0.015843429636533086,1.3921714818266542,0.04417520969245107,0.0020503261882572226,0.9979496738117428,6.1110904007455735,0.02478657968313141
mlp_bce_value_jitter005,0.01565703634669152,1.3934762348555452,0.046598322460391424,0.0016775396085740913,0.9983224603914259,6.007269338303821,0.024823858341099722
mlp_pairwise_value_jitter005,0.01658900279589935,1.3973904939422181,0.046225535880708296,0.0014911463187325257,0.9985088536812675,6.0452935694315,0.024823858341099722
