method,success_rate,first_error_step,recovery_at_error,trap_at_1,plan_feasibility,constraint_violation_rate,plan_execution_consistency,token_cost,latency_cost,diversity_coverage
single_step,0.0,1.2962962962962963,0.1111111111111111,0.05555555555555555,0.8518518518518519,0.14814814814814814,1.0,8.222222222222221,0.02,1.0
beam_search,0.0,1.5925925925925926,0.37037037037037035,0.046296296296296294,1.0,0.0,1.0,28.453703703703702,0.12,1.0
lookahead,0.0,1.75,0.5092592592592593,0.05555555555555555,1.0,0.8888888888888888,1.0,49.2962962962963,0.2,1.0
diplan,0.26851851851851855,2.685185185185185,0.5833333333333334,0.046296296296296294,1.0,0.9907407407407407,1.0,284.4074074074074,1.3155555555555556,0.8578028549382716
